entity,pillar,title,url,source,date,demographics,wdl_mention,text_paragraph_1,text_paragraph_2,text_paragraph_3,has_text,is_google_link,rss_position,reach_score
Burundi,Jobs & Employment,Kenya advances plans for East Africa's biggest oil refinery,https://news.google.com/rss/articles/CBMihwFBVV95cUxQbFVLME90R09TM2tCLU1haHpkbnd0M2p6TzUyeXF6ZmVBenpOOXVCVWoxdUljd2RaSHZ4OWJGcVd4bGRvN3pCUUNRaXNfN3hrYjI3elUwXzdsVkFLbkswV3VDNDRaYjMzZ0hEeFdKcmJTOFp3YzFfRzNGWElyNGQ4bmpxUlNkTDg?oc=5,Latest news from Azerbaijan,10 Jul 2026,,no,,,,no,yes,2,6
Burundi,Jobs & Employment,Ruto: Planned Lamu Refinery to create 60K jobs as Infrastructure Fund hits Ksh350B,https://peopledaily.digital/news/ruto-planned-lamu-refinery-to-create-60k-jobs-as-infrastructure-fund-hits-ksh350b,People Daily,10 Jul 2026,,no,"President William Ruto has announced that the planned East Africa Refinery in Lamu will create 60,000 jobs, saying the project will serve several countries in the region while opening up employment opportunities for Kenyan youth.","Speaking on Friday, July 10, 2026, during the disbursement of NYOTA funds, Ruto said the refinery will be a regional project serving Kenya, Ethiopia, South Sudan, Uganda, Tanzania, Rwanda, Burundi and the Democratic Republic of Congo.","“Kenya sasa tutajenga refinery ya East Africa refinery hapa kwetu Lamu. Na pale tutahitaji vijana elfu sitini wa kufanya hiyo kazi,” Ruto said.",yes,no,3,7
Burundi,Jobs & Employment,Burundi : a massive roundup of youths shakes éowntown Bujumbura,https://news.google.com/rss/articles/CBMirgFBVV95cUxQdElfcXVIaFFlQXZVOEswM3lBbmE2Ym1sUzNLUnpjSDJTSkROazBfMTYzYVFJNkxBeHNNQlp6WFAzUk50MHE3N2RXQ2kwajJBMFVSRUF0S0ZsVzhRRlFld0dXUlJKWWVZTHZNQU5qZ3dJU2lWVVJ5ZTN3Mmxxd1JXQkwzRDcxY1VtSEtBN0swZGxTMVY3WTMxOU1RT1Q5dzU3OGtJTGdEcThUcldBcGc?oc=5,SOS Médias Burundi,11 Jul 2026,Youth,no,,,,no,yes,4,4
Burundi,Macroeconomy,Open Call: Public Diplomacy Bujumbura Small Grants Program (Burundi),https://www2.fundsforngos.org/community-development-2/open-call-public-diplomacy-bujumbura-small-grants-program-burundi/,fundsforNGOs,10 Jul 2026,,no,,,,no,no,0,8
Burundi,Macroeconomy,Why the EAC Should Impose Heavy Sanctions on DRC and Burundi,https://www.ktpress.rw/2026/07/why-the-eac-should-impose-heavy-sanctions-on-drc-and-burundi/,KT PRESS -,11 Jul 2026,,no,,,,no,no,1,7
Burundi,Macroeconomy,Burundi : the decision to close Gitega International School sends shockwaves through 736 pupils and their families,https://www.sosmediasburundi.org/en/2026/07/09/burundi-the-decision-to-close-gitega-international-school-sends-shockwaves-through-736-pupils-and-their-families/,SOS Médias Burundi,9 Jul 2026,,no,"Gitega, July 4, 2026 — The decision by the Minister of National Education and Scientific Research, François Havyarimana, to close the Gitega International School, located in the political capital of the small East African nation, continues to cause widespread concern. The 736 pupils enrolled at the school, their parents, and the teachers fear the consequences of a measure they consider hasty. Between the risk of job loss, disruption to their education, and legal uncertainties, their anxiety grows daily.","Minister François Havyarimana ordered the closure of this private school, a decision that continues to send shockwaves through the city of Gitega. Teachers, parents, and school officials are denouncing a measure taken without sufficient consultation, the consequences of which could be severe, both socially and educationally.","For the teachers, this decision has been met with a devastating blow.",yes,no,2,8
Burundi,Macroeconomy,Why Tanzania is emerging as East Africa’s growth hub,https://dailynews.co.tz/why-tanzania-is-emerging-as-east-africas-growth-hub/,dailynews.co.tz,9 Jul 2026,,no,,,,no,no,4,7
Burundi,Macroeconomy,"Burundi Plans to Launch National Carrier ""Burundi Airlines"" in 2021",https://news.google.com/rss/articles/CBMiekFVX3lxTE9RWTBSNy1VRllNRUpmMUp1UjR3bDlPcHU2SU5mNGtySUhENzAyU09zSzZhUDBXRjZpVURnX2xFR3JwZG4yQXd3UmRodkJOanV5dWE3Rm1uR2VqM21pMjhtRV9OYWNlblVBUGRtb0hnV1MtOG5vZXZxZTVB?oc=5,The Kenyan Wallstreet,26 Oct 2025,,no,,,,no,yes,5,3
Burundi,Digital Economy,Starlink suspends Nigerian tariff hike,https://www.connectingafrica.com/connectivity/starlink-suspends-nigerian-tariff-hike,Connecting Africa,28 Oct 2024,,no,"SpaceX's satellite Internet service, Starlink, has suspended a recent price increase, which saw base subscription prices nearly double in Nigeria.",Many Starlink users took to social media to reveal the email Elon Musk's company sent them.,"""Today, we are temporarily suspending this price increase as we navigate regulatory challenges. We remain committed to providing high-speed Internet in Nigeria, but we need regulatory support to make the improvements necessary for a better customer experience,"" it noted.",yes,no,0,10
Burundi,Digital Economy,East African leaders push for Kiswahili’s digital transformation,https://news.google.com/rss/articles/CBMisAFBVV95cUxQRjNiTFkyOWl0RkdieWxwdkV6MWpjblNSYWtPRlFUbW9QRlQzd3BDYjcwYzdHNHE3dVM1S2QtRHNnQnRuS0d2ZXJZS3k1SXAyQ3pYQ0MyWXU1b0VzaElVM005aHRrN1NZOE0tckNZS2Fzdzc2eVhLanZkaUx0bTM5clJCNDdTR3pRcFBCZUU3S0pLd3gyZVpUSGxJUmRPOXVveTZMOEJLTnJ5WmZ1cEhyZQ?oc=5,PML Daily,9 Jul 2026,,no,,,,no,yes,1,7
